Linux 6.6.8-swap-profiling (amd3) 	12/10/24 	_x86_64_	(128 CPU)

08:14:38        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:18:24        all      0.05      0.00      2.07     75.32      0.00     22.55
08:18:25        all      0.09      0.00      2.09     75.10      0.00     22.71
08:18:26        all      0.11      0.00      2.11     75.04      0.00     22.74
08:18:27        all      0.08      0.00      2.02     75.33      0.00     22.56
08:18:28        all      0.06      0.00      2.13     74.98      0.00     22.82
08:18:29        all      0.08      0.00      1.96     74.88      0.00     23.08
08:18:30        all      0.05      0.00      1.96     74.46      0.00     23.53
08:18:31        all      0.72      0.00      2.69     70.43      0.00     26.17
08:18:32        all      0.43      0.00      2.04     63.19      0.00     34.34
08:18:33        all      0.08      0.00      1.81     71.89      0.00     26.22
08:18:34        all      0.05      0.00      1.99     72.74      0.00     25.22
08:18:35        all      0.06      0.00      1.81     72.37      0.00     25.76
08:18:36        all      0.08      0.00      2.19     71.63      0.00     26.11
08:18:37        all      0.03      0.00      1.93     71.89      0.00     26.14
08:18:38        all      0.07      0.00      2.14     71.73      0.00     26.06
08:18:39        all      0.12      0.00      2.46     71.90      0.00     25.52
08:18:40        all      0.08      0.00      2.38     72.90      0.00     24.64
08:18:41        all      0.10      0.00      2.58     72.48      0.00     24.84
08:18:42        all      0.11      0.00      2.78     72.07      0.00     25.04
08:18:43        all      0.61      0.00      3.14     68.42      0.00     27.83
08:18:44        all      0.56      0.00      3.01     69.28      0.00     27.16
08:18:45        all      0.64      0.00      2.91     66.64      0.00     29.82
08:18:46        all      0.11      0.00      2.80     69.97      0.00     27.13
08:18:47        all      0.10      0.00      2.68     70.76      0.00     26.46
08:18:48        all      0.16      0.00      3.00     71.08      0.00     25.76
08:18:49        all      0.08      0.00      2.91     71.03      0.00     25.99
08:18:50        all      0.08      0.00      3.17     71.43      0.00     25.32
08:18:51        all      0.05      0.00      2.71     72.42      0.00     24.82
08:18:52        all      0.08      0.00      2.65     72.52      0.00     24.75
08:18:53        all      0.09      0.00      2.41     72.76      0.00     24.75
08:18:54        all      0.06      0.00      2.82     72.17      0.00     24.95
08:18:55        all      0.07      0.00      2.70     72.41      0.00     24.82
08:18:56        all      0.57      0.00      2.67     70.90      0.00     25.86
08:18:57        all      0.33      0.00      2.60     68.39      0.00     28.68
08:18:58        all      0.51      0.00      3.06     63.91      0.00     32.52
08:18:59        all      0.35      0.00      2.71     62.63      0.00     34.30
08:19:00        all      0.08      0.00      2.19     66.30      0.00     31.44
08:19:01        all      0.13      0.00      2.15     65.98      0.00     31.74
08:19:02        all      0.18      0.00      4.15     64.56      0.00     31.11
08:19:03        all      0.15      0.00      4.82     63.99      0.00     31.03
08:19:04        all      0.21      0.00      4.59     64.07      0.00     31.13
08:19:05        all      0.23      0.00      4.12     63.98      0.00     31.68
08:19:06        all      0.14      0.00      5.29     63.92      0.00     30.65
08:19:07        all      0.16      0.00      4.25     65.47      0.00     30.13
08:19:08        all      0.19      0.00      4.25     64.75      0.00     30.82
08:19:09        all      0.43      0.00      4.24     64.03      0.00     31.29
